slides,slide_title,file,already_in_repo,repo_path,original_location
18,Sexual differentiation has a strong epigenetic component,People_schematics.png,no,defense_figures/s18_People_schematics.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\People_schematics.png
18,Sexual differentiation has a strong epigenetic component,blastocyst.png,no,defense_figures/s18_blastocyst.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\blastocyst.png
18,Sexual differentiation has a strong epigenetic component,egg_and_sperm.png,no,defense_figures/s18_egg_and_sperm.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\egg_and_sperm.png
18,Sexual differentiation has a strong epigenetic component,human_fetus_10weeks.png,no,defense_figures/s18_human_fetus_10weeks.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\human_fetus_10weeks.png
34,157,TCGA_humans_icon.png,no,defense_figures/s34_TCGA_humans_icon.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figures miscellaneous\TCGA_humans_icon.png
34,157,kaplan_meier_icon.png,no,defense_figures/s34_kaplan_meier_icon.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figures miscellaneous\kaplan_meier_icon.png
36,Egr1 is the top male-biased TF and predicts poor survival in,Forest_MaleSpecificRisk_TFs_MvsF.png,yes,07_tcga_survival/motif_multivariate_TCGA/Forest_MaleSpecificRisk_TFs_MvsF.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\07_tcga_survival\motif_multivariate_TCGA\Forest_MaleSpecificRisk_TFs_MvsF.png
36,Egr1 is the top male-biased TF and predicts poor survival in,Pvalue_MaleMotifs_allTFs_maleOnly.png,yes,07_tcga_survival/motif_multivariate_TCGA/Pvalue_MaleMotifs_allTFs_maleOnly.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\07_tcga_survival\motif_multivariate_TCGA\Pvalue_MaleMotifs_allTFs_maleOnly.png
40,"Egr1 motif is active in most male cells, but only active in ",F_small_cluster_enrichrResults_GO_Biological_Process_2023.png,no,defense_figures/s40_F_small_cluster_enrichrResults_GO_Biological_Process_2023.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\R analyses\DE_analyses\F_small_cluster_enrichrResults_GO_Biological_Process_2023.png
40,"Egr1 motif is active in most male cells, but only active in ",F_allOtherCells_cluster_enrichrResults_GO_Biological_Process_2023.png,no,defense_figures/s40_F_allOtherCells_cluster_enrichrResults_GO_Biological_Process_2023.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\R analyses\DE_analyses\F_allOtherCells_cluster_enrichrResults_GO_Biological_Process_2023.png
41,Egr,Tcf7l1_chromvar.png,no,defense_figures/s41_Tcf7l1_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Tcf7l1_chromvar.png
41,Egr,Pparg_chromvar.png,no,defense_figures/s41_Pparg_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Pparg_chromvar.png
41,Egr,Klf6_chromvar.png,no,defense_figures/s41_Klf6_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Klf6_chromvar.png
41,Egr,REST_chromvar.png,no,defense_figures/s41_REST_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\REST_chromvar.png
41,Egr,Zic1_chromvar.png,no,defense_figures/s41_Zic1_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Zic1_chromvar.png
41,Egr,Wt1_chromvar.png,no,defense_figures/s41_Wt1_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Wt1_chromvar.png
41,Egr,Egr3_chromvar.png,no,defense_figures/s41_Egr3_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Egr3_chromvar.png
41,Egr,Klf15_chromvar.png,no,defense_figures/s41_Klf15_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Klf15_chromvar.png
41,Egr,Klf9_chromvar.png,no,defense_figures/s41_Klf9_chromvar.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Figure1_Jan2026\Klf9_chromvar.png
42,Egr1 (Early growth response 1) regulates response to a varie,Egr1_motif.png,no,defense_figures/s42_Egr1_motif.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\Egr1_motif.png
54,Egr1 is required for sex differences in invasion in GBM cell,M6 Neg_set3_insert 2_Figure2d_Left_final.tif,no,defense_figures/s54_M6 Neg_set3_insert 2_Figure2d_Left_final.tif,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\M6 Neg_set3_insert 2_Figure2d_Left_final.tif
54,Egr1 is required for sex differences in invasion in GBM cell,F6 Neg_set3_insert 2_Figure2d_Left_final.tif,no,defense_figures/s54_F6 Neg_set3_insert 2_Figure2d_Left_final.tif,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\F6 Neg_set3_insert 2_Figure2d_Left_final.tif
54,Egr1 is required for sex differences in invasion in GBM cell,M6 Egr1KD_set2_insert 3_Figure2d_Left_Final.tif,no,defense_figures/s54_M6 Egr1KD_set2_insert 3_Figure2d_Left_Final.tif,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\M6 Egr1KD_set2_insert 3_Figure2d_Left_Final.tif
54,Egr1 is required for sex differences in invasion in GBM cell,F6 Egr1KD_Set2_insert3_Figure2d_Left_Final.tif,no,defense_figures/s54_F6 Egr1KD_Set2_insert3_Figure2d_Left_Final.tif,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\F6 Egr1KD_Set2_insert3_Figure2d_Left_Final.tif
80,58% of sex-biased hits are Egr1-dependent,Egr1dependence_pie_n64.png,yes,09_drug_screen/Egr1dependence_pie_n64.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\Egr1dependence_pie_n64.png
80,58% of sex-biased hits are Egr1-dependent,Slide77_dumbbell_ALLhits_combined_greyBlue.png,no,defense_figures/s80_Slide77_dumbbell_ALLhits_combined_greyBlue.png,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\Slide77_dumbbell_ALLhits_combined_greyBlue.png
82,Female Egr1 KD,Figure5_targetGenes_Oxidative_thiol_NRF2_antioxidant_.png,yes,09_drug_screen/targetGene_heatmaps/Figure5_targetGenes_Oxidative_thiol_NRF2_antioxidant_.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Oxidative_thiol_NRF2_antioxidant_.png
83,Female Egr1 KD,Figure5_targetGenes_Prostaglandin_COX_pathway_Ptgs2_target_.png,yes,09_drug_screen/targetGene_heatmaps/Figure5_targetGenes_Prostaglandin_COX_pathway_Ptgs2_target_.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Prostaglandin_COX_pathway_Ptgs2_target_.png
83,Female Egr1 KD,Figure5_targetGenes_Sodium_channel_Nav1_5_Scn5a_target_.png,yes,09_drug_screen/targetGene_heatmaps/Figure5_targetGenes_Sodium_channel_Nav1_5_Scn5a_target_.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Sodium_channel_Nav1_5_Scn5a_target_.png
84,Statin drug vulnerability in males could be related to Egr1 ,Figure5_targetGenes_Statin_HMGCR_sterol_.png,yes,09_drug_screen/targetGene_heatmaps/Figure5_targetGenes_Statin_HMGCR_sterol_.png,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Statin_HMGCR_sterol_.png
